Fecha,LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioSojaUSD,SuperficieSembradaSojaSantaFe,SuperficieSembradaSojaBuenosAires,SuperficieSembradaSojaCordoba,SuperficieCosechadaSojaSantaFe,SuperficieCosechadaSojaBuenosAires,SuperficieCosechadaSojaCordoba,ProduccionSojaSantaFe,ProduccionSojaBuenosAires,ProduccionSojaCordoba,RendimientoSojaSantaFe,RendimientoSojaBuenosAires,RendimientoSojaCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionSojaDiaAnterior,VariacionSojaTresDia,VariacionSojaSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasSoja,PrecioPromedioSesentaDiasSoja,PrecioPromedioNoventaDiasSoja,PrecioRealDiaSiguiente
20000103,0.0000,0.0000,0.0000,1.0000,176.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.9000
20000104,0.0000,0.0000,0.0000,1.0000,178.5000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0136286201022146507666098807,0.0136286201022146507666098807,0.0136286201022146507666098807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,176.1000,176.1000,176.1000,182.1000
20000105,0.0000,0.0000,0.0000,1.0000,180.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0084033613445378151260504202,0.0152284263959390862944162437,0.0152284263959390862944162437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,177.3000,177.3000,177.3000,180.8000
20000106,0.0000,0.0000,0.0000,1.0000,180.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.005,0.0151515151515151515151515152,0.0151515151515151515151515152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,178.2000,178.2000,178.2000,180.8000
20000107,0.0000,0.0000,0.0000,1.0000,182.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0066334991708126036484245439,0.0127919911012235817575083426,0.0180293501048218029350104822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,178.8750,178.8750,178.8750,183.8000
20000110,0.0000,0.0000,0.5000,1.0000,180.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0071389346512904997254255903,-0.0011049723756906077348066298,0.0071301247771836007130124777,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,179.5200,179.5200,179.5200,184.7000
20000111,15.4000,0.0000,35.5000,1.0000,180.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0,-0.002574475910261125413755057,0.0059347181008902077151335312,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,179.7333,179.7333,179.7333,186.9000
20000112,0.0000,0.0000,0.0000,1.0000,183.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0165929203539823008849557522,0.0141622218135000919624793085,0.0217598475222363405336721728,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,179.8857,179.8857,179.8857,183.5000
20000113,1.1000,0.0000,0.0000,1.0000,184.7000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0048966267682263329706202394,0.015951595159515951595159516,0.0205225353224406030468071671,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,15.4000,51.0000,0.0000,180.3750,180.3750,180.3750,183.2000
20000114,11.1000,0.0000,1.0000,1.0000,186.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0119112073632918245804006497,0.0207536865101037684325505188,0.0276490456366349854685413558,16.5000,51.0000,0.0000,16.5000,51.0000,0.0000,16.5000,51.0000,0.0000,16.5000,51.0000,0.0000,16.5000,51.0000,0.0000,180.8555,180.8555,180.8555,185.9000
