LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioSojaUSD,SuperficieSembradaSojaSantaFe,SuperficieSembradaSojaBuenosAires,SuperficieSembradaSojaCordoba,SuperficieCosechadaSojaSantaFe,SuperficieCosechadaSojaBuenosAires,SuperficieCosechadaSojaCordoba,ProduccionSojaSantaFe,ProduccionSojaBuenosAires,ProduccionSojaCordoba,RendimientoSojaSantaFe,RendimientoSojaBuenosAires,RendimientoSojaCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionSojaDiaAnterior,VariacionSojaTresDia,VariacionSojaSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasSoja,PrecioPromedioSesentaDiasSoja,PrecioPromedioNoventaDiasSoja,PrecioRealDiaSiguiente,
0,0,0,1,176.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.8,4.7
0,0,0,1,178.5,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0136,0.0136,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.1,176.1,176.1,180.8,2.3
0,0,0,1,180,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0084,0.0152,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.3,177.3,177.3,183.8,3.8
0,0,0,1,180.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.005,0.0151,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.2,178.2,178.2,184.7,3.8
0,0,0,1,182.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0066,0.0127,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.875,178.875,178.875,186.9,4.8
0,0,0.5,1,180.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0071,-0.0011,0.0071,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,179.52,179.52,179.52,183.5,2.7
15.4,0,35.5,1,180.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,-0.0025,0.0059,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,179.7333,179.7333,179.7333,183.2,2.4
0,0,0,1,183.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0165,0.0141,0.0217,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,179.8857,179.8857,179.8857,185.9,2.1
1.1,0,0,1,184.7,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0048,0.0159,0.0205,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,180.375,180.375,180.375,187.9,3.2
11.1,0,1,1,186.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0119,0.0207,0.0276,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,180.8555,180.8555,180.8555,189,2.1
0,0,0,1,183.5,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0181,-0.0088,0.0035,42.1,40.5,0,42.1,40.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,181.46,181.46,181.46,189.9,6.4
0,0,0,1,183.2,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0016,-0.0099,-0.0001,42.1,40,0,42.1,40,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,181.6454,181.6454,181.6454,188.9,5.7
0,0,0,1,185.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0147,0.0074,0.0137,26.7,4.5,0,26.7,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,181.775,181.775,181.775,188.2,2.3
0,0,0,1,187.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0107,0.02,0.0205,26.7,4.5,0,26.7,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,182.0923,182.0923,182.0923,190.1,2.2
15.8,0,0,1,189,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0058,0.0179,0.0209,25.6,4.5,0,25.6,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,182.5071,182.5071,182.5071,190.1,1.1
7,0,1,1,189.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0047,0.0122,0.0216,17.3,26.5,0,17.3,26.5,0,59.4,82,0,59.4,82,0,59.4,82,0,182.94,182.94,182.94,188.1,1.8
0,0,0,1,188.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0052,-0.0001,0.0122,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,183.375,183.375,183.375,190.1,1.2
0,0,0,1,188.2,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0037,-0.0056,0.0069,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,183.7,183.7,183.7,190.5,2.3
0,0,0,1,190.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.01,0.0058,0.0134,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,183.95,183.95,183.95,188,2.1
0,0,0,1,190.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,0.0054,0.0081,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,184.2736,184.2736,184.2736,189,1.1
0,0,0,1,188.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0105,-0.0072,-0.0055,7.1,1,0,7.1,1,0,66.5,83,0,66.5,83,0,66.5,83,0,184.565,184.565,184.565,189,0.9
0,0,0,1,190.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0106,0.0035,0.0048,0.1,0,0,0.1,0,0,66.5,83,0,66.5,83,0,66.5,83,0,184.7333,184.7333,184.7333,186.9,3.2
12.4,0,10,1,190.5,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0021,0.0056,0.0061,0.1,0,0,0.1,0,0,66.5,83,0,66.5,83,0,66.5,83,0,184.9772,184.9772,184.9772,184.4,6.1
0,0,0,1,188,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0131,-0.0082,-0.0075,12.5,10,0,12.5,10,0,78.9,93,0,78.9,93,0,78.9,93,0,185.6318,185.2173,185.2173,183.8,4.2
0,0,0,1,189,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0053,-0.0028,-0.0015,12.5,10,0,12.5,10,0,78.9,93,0,78.9,93,0,78.9,93,0,186.0636,185.3333,185.3333,184.1,4.9
5,0,0,1,189,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,-0.0008,-0.0021,12.4,10,0,12.4,10,0,78.9,93,0,78.9,93,0,78.9,93,0,186.97,185.48,185.48,185.9,3.1
7.5,0,0,1,186.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0111,-0.0093,-0.0124,17.4,10,0,17.4,10,0,83.9,93,0,83.9,93,0,83.9,93,0,187.0666,185.6153,185.6153,187.3,0.4
0,0,0,1,184.4,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0133,-0.0207,-0.0233,24.9,10,0,24.9,10,0,91.4,78,0,91.4,93,0,91.4,93,0,187.059,185.6629,185.6629,187.3,2.9
2.6,0,49,1,183.8,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,-0.0032,-0.0158,-0.0237,12.5,0,0,12.5,0,0,91.4,77.5,0,91.4,93,0,91.4,93,0,187.2227,185.6178,185.6178,187,3.2
33.2,0,19,1,184.1,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0016,-0.005,-0.0174,15.1,49,0,15.1,49,0,78.6,91,0,94,142,0,94,142,0,187.359,185.5551,185.5551,185,0.9
0,0,0,1,185.9,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0097,0.0097,-0.0029,63.2,68.1,0,63.2,68.1,0,114.5,109.1,0,142.1,161.1,0,142.1,161.1,0,187.53,185.5066,185.5066,183,2.9
0,0,0,1,187.3,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0.0075,0.0146,0.0061,58.2,68.1,0,58.2,68.1,0,114.5,109.1,0,142.1,161.1,0,142.1,161.1,0,187.4523,185.5193,185.5193,185.4,1.9
0,0,0,1,187.3,2873.55,4705.55,2729,2863.4,5240.66,2707.4,5167.5,6274.6,5687,41.002,159.223,54.338,54,291,72,0,0.0082,0.0074,50.7,68.1,0,50.7,68.1,0,100,105.6,0,142.1,161.1,0,142.1,161.1,0,187.4454,185.575,185.575,182,5.3
