LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioTrigoUSD,SuperficieSembradaTrigoSantaFe,SuperficieSembradaTrigoBuenosAires,SuperficieSembradaTrigoCordoba,SuperficieCosechadaTrigoSantaFe,SuperficieCosechadaTrigoBuenosAires,SuperficieCosechadaTrigoCordoba,ProduccionTrigoSantaFe,ProduccionTrigoBuenosAires,ProduccionTrigoCordoba,RendimientoTrigoSantaFe,RendimientoTrigoBuenosAires,RendimientoTrigoCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionTrigoDiaAnterior,VariacionTrigoTresDia,VariacionTrigoSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasTrigo,PrecioPromedioSesentaDiasTrigo,PrecioPromedioNoventaDiasTrigo,PrecioRealDiaSiguiente,
0,0,0,1,91.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,4
0,0,0,1,87.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0437,-0.0437,-0.0437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5,91.5,91.5,88,0.5
0,0,0,1,88,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0057,-0.0167,-0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5,89.5,89.5,88.8,0.8
0,0,0,1,88.8,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.009,-0.0022,-0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,89,90.1,1.3
0,0,0,1,90.1,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0146,0.0227,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.95,88.95,88.95,91.6,1.5
0,0,0,1,91.6,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0166,0.0295,0.0271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.18,89.18,89.18,114.9,23.3
0,0,0,1,114.9,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.2543,0.2743,0.2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5833,89.5833,89.5833,105,9.9
0,0,15,1,105,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0861,0.062,0.1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.2,93.2,93.2,92,13
0,0,0.5,1,92,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.1238,-0.1139,-0.0328,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,94.675,94.675,94.675,92.9,0.9
15.4,0,35.5,1,92.9,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0097,-0.1064,-0.0299,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,94.3777,94.3777,94.3777,94.8,1.9
0,0,0,1,94.8,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0204,-0.0189,-0.0173,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,94.23,94.23,94.23,95.9,1.1
1.1,0,0,1,95.9,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0116,0.0286,-0.0146,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,94.2818,94.2818,94.2818,98,2.1
11.1,0,1,1,98,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0218,0.0366,-0.0016,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,94.4166,94.4166,94.4166,97.5,0.5
0,0,0,1,97.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0051,0.0131,-0.0158,42.1,40.5,0,42.1,40.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,94.6923,94.6923,94.6923,95.8,1.7
0,0,0,1,95.8,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0174,-0.0137,-0.0081,42.1,40,0,42.1,40,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,94.8928,94.8928,94.8928,95.3,0.5
0,0,0,1,95.3,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0052,-0.0185,0.0002,26.7,4.5,0,26.7,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,94.9533,94.9533,94.9533,94.4,0.9
0,0,0,1,94.4,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0094,-0.0187,-0.014,26.7,4.5,0,26.7,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,94.975,94.975,94.975,93.4,1
15.8,0,0,1,93.4,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0105,-0.0185,-0.0266,25.6,4.5,0,25.6,4.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,94.9411,94.9411,94.9411,92.4,1
7,0,1,1,92.4,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0107,-0.0208,-0.035,17.3,26.5,0,17.3,26.5,0,59.4,82,0,59.4,82,0,59.4,82,0,94.8555,94.8555,94.8555,92.7,0.3
0,0,0,1,92.7,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0032,-0.0074,-0.0268,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,94.7263,94.7263,94.7263,91.5,1.2
0,0,0,1,91.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0129,-0.0143,-0.0317,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,94.625,94.625,94.625,90.8,0.7
0,0,0,1,90.8,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0076,-0.0151,-0.0303,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,94.4761,94.4761,94.4761,92.4,1.6
0,0,0,1,92.4,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0176,0.008,-0.0056,24.3,27.5,0,24.3,27.5,0,66.4,83,0,66.4,83,0,66.4,83,0,94.309,94.309,94.309,91.3,1.1
0,0,0,1,91.3,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0119,-0.0029,-0.0131,7.1,1,0,7.1,1,0,66.5,83,0,66.5,83,0,66.5,83,0,94.226,94.226,94.226,91.5,0.2
0,0,0,1,91.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0021,0,-0.0062,0.1,0,0,0.1,0,0,66.5,83,0,66.5,83,0,66.5,83,0,94.1041,94.1041,94.1041,91.2,0.3
12.4,0,10,1,91.2,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0032,-0.0058,-0.0065,0.1,0,0,0.1,0,0,66.5,83,0,66.5,83,0,66.5,83,0,94.1041,94,94,90,1.2
0,0,0,1,90,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0131,-0.0145,-0.0177,12.5,10,0,12.5,10,0,78.9,93,0,78.9,93,0,78.9,93,0,94.2583,93.8923,93.8923,89.6,0.4
0,0,0,1,89.6,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.0044,-0.0143,-0.018,12.5,10,0,12.5,10,0,78.9,93,0,78.9,93,0,78.9,93,0,94.3416,93.7481,93.7481,108.7,19.1
0,0,0,1,108.7,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.2131,0.2042,0.1948,12.5,10,0,12.5,10,0,78.9,93,0,78.9,93,0,78.9,93,0,94.375,93.6,93.6,117.7,9
0,0,0,1,117.7,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0827,0.2247,0.2584,12.4,10,0,12.4,10,0,78.9,93,0,78.9,93,0,78.9,93,0,95.15,94.1206,94.1206,89.5,28.2
5,0,0,1,89.5,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,-0.2395,-0.1503,-0.0786,12.4,10,0,12.4,10,0,78.9,93,0,78.9,93,0,78.9,93,0,96.2375,94.9066,94.9066,89.9,0.4
7.5,0,0,1,89.9,930.4,6785.7,3046.7,925.3,8636.5,3043.9,2754,8751,2871.1,49.77,256.388,42.952,54,291,72,0.0044,-0.1462,-0.0721,17.4,10,0,17.4,10,0,83.9,93,0,83.9,93,0,83.9,93,0,95.1791,94.7322,94.7322,89.5,0.4
