Fecha,LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioMaizUSD,SuperficieSembradaMaizSantaFe,SuperficieSembradaMaizBuenosAires,SuperficieSembradaMaizCordoba,SuperficieCosechadaMaizSantaFe,SuperficieCosechadaMaizBuenosAires,SuperficieCosechadaMaizCordoba,ProduccionMaizSantaFe,ProduccionMaizBuenosAires,ProduccionMaizCordoba,RendimientoMaizSantaFe,RendimientoMaizBuenosAires,RendimientoMaizCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionMaizDiaAnterior,VariacionMaizTresDia,VariacionMaizSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasMaiz,PrecioPromedioSesentaDiasMaiz,PrecioPromedioNoventaDiasMaiz,PrecioRealDiaSiguiente
20000102,0.0000,0.0000,0.0000,1.0000,92.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0000
20000103,0.0000,0.0000,0.0000,1.0000,95.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0326086956521739130434782609,0.0326086956521739130434782609,0.0326086956521739130434782609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,92.0000,92.0000,76.5000
20000104,0.0000,0.0000,0.0000,1.0000,95.2000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0021052631578947368421052632,0.0181818181818181818181818182,0.0181818181818181818181818182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.5000,93.5000,93.5000,73.0000
20000105,0.0000,0.0000,0.0000,1.0000,95.6000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0042016806722689075630252101,0.0163004961020552799433026222,0.0163004961020552799433026222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.0666,94.0666,94.0666,95.0000
20000106,0.0000,0.0000,0.0000,1.0000,96.8000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.0125523012552301255230125523,0.0160951714485654303708887333,0.0248808893594494441503440974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.4500,94.4500,94.4500,94.9000
20000107,0.0000,0.0000,0.0000,1.0000,95.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0185950413223140495867768595,-0.0090403337969401947148817803,0.0008428150021070375052675938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.9200,94.9200,94.9200,90.0000
20000108,0.0000,0.0000,0.0000,1.0000,76.5000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.1947368421052631578947368421,-0.2014613778705636743215031315,-0.1941713483146067415730337078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.9333,94.9333,94.9333,90.0000
20000109,0.0000,0.0000,15.0000,1.0000,73.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0457516339869281045751633987,-0.183749534103615355944837868,-0.209100758396533044420368364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.3000,92.3000,92.3000,89.0000
20000110,0.0000,0.0000,0.5000,1.0000,95.0000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,0.3013698630136986301369863014,0.1656441717791411042944785276,0.0604369319087864774358156593,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,0.0000,15.0000,0.0000,89.8875,89.8875,89.8875,88.9000
20000111,15.4000,0.0000,35.5000,1.0000,94.9000,992.0000,7004.6000,1654.6000,934.5000,7174.2650,1601.1200,1348.9800,8888.6000,3116.0000,84.6500,494.0480,131.7580,54,291,72,-0.0010526315789473684210526316,0.1644171779141104294478527607,0.0593206825067772285121990113,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,0.0000,15.5000,0.0000,90.4555,90.4555,90.4555,88.9000
